Category,Crop,Disease,Question,Answer,Keywords
Pest,soybean,yellow mosaic virus,"What soil type and pH are ideal for soybean, and how do I improve my soil?","In soybean, control girdle beetle, leaf folder, semilooper, aphids with cultural methods: timely sowing, intercropping, and crop rotation. Use biopesticides (Bt, NPV) where available. Spot-spray outbreaks and avoid prophylactic sprays. Keep records of inputs and yields each season to refine your plan.","agriculture,farming,india,laterite,pest,soybean,yellow mosaic virus"
Irrigation,tomato,powdery mildew,How should I plan crop rotation with tomato to improve soil health?,"In tomato, avoid water stress during pod/fruit development. Use deficit irrigation (70–80% ET) in vegetative stage, then full irrigation at flowering and fruit set. Drain fields within 24 hours after heavy rain to prevent root rot. Keep records of inputs and yields each season to refine your plan.","agriculture,farming,india,irrigation,powdery mildew,red,tomato"
Weather,potato,scab,How does crop insurance work for potato and how do I claim?,"In drought-prone areas, select short-duration potato varieties. Use mulching, zero-till, and deficit irrigation. Apply 2% KNO3 foliar to mitigate heat stress. Avoid late sowing in rainfed zones. Keep records of inputs and yields each season to refine your plan.","agriculture,farming,india,potato,red,scab,weather"
Soil,onion,neck rot,What carbon farming practices can I adopt in onion fields?,"In onion, heavy clay soils need raised beds and proper drainage. Sandy soils benefit from mulching and frequent light irrigations. Loamy soils are ideal; maintain OC with crop residues and manures. Keep records of inputs and yields each season to refine your plan.","agriculture,alluvial,farming,india,neck rot,onion,soil"
Government Scheme,chilli,powdery mildew,What GAP should I follow for chilli to meet market and export standards?,"For chilli, PMFBY provides yield-based insurance at low premium. Enroll through banks or CSC before sowing. Maintain plot-wise records and cooperate during crop cutting experiments for claim settlement. Keep records of inputs and yields each season to refine your plan.","agriculture,chilli,clay,farming,government_scheme,india,powdery mildew"
Harvesting,brinjal,fruit rot,What water conservation practices work best for brinjal in my area?,"In brinjal, early harvest reduces field losses and aflatoxin risk. Dry on clean tarps; avoid direct soil contact. Use moisture meters to ensure safe storage levels. Store in fumigated, rodent-proof structures. Keep records of inputs and yields each season to refine your plan.","agriculture,brinjal,farming,fruit rot,harvesting,india,laterite"
Marketing,cabbage,clubroot,"How can I control diamondback moth, aphids, head borer in cabbage using IPM and reduce chemical sprays?","For cabbage, MSP announcements and procurement vary by state. Register on e-NAM for better market access. FPO membership can improve bargaining power. Explore agri-infrastructure funds for storage and processing. Keep records of inputs and yields each season to refine your plan.","agriculture,cabbage,clubroot,farming,india,marketing,sandy"
Organic Farming,cauliflower,alternaria leaf spot,How do I set up protected cultivation or greenhouse for cauliflower?,"For cauliflower, organic yields improve over 2–3 years as soil health builds. Use seed treatment with Trichoderma and biofertilizers. Avoid contamination from conventional inputs and maintain buffer zones. Keep records of inputs and yields each season to refine your plan.","agriculture,alternaria leaf spot,cauliflower,farming,india,laterite,organic_farming"
Yield Improvement,okra,root-knot nematode,Which irrigation method saves the most water for okra without reducing yield?,"To improve yield in okra, use certified seeds, optimal plant population, and balanced NPK. Manage pests/diseases proactively and avoid water stress at flowering. Harvest at correct maturity and dry properly. Keep records of inputs and yields each season to refine your plan.","agriculture,farming,india,laterite,okra,root-knot nematode,yield_improvement"
Seed Selection,groundnut,rust,How do I store groundnut grains safely to avoid pests and mold?,"In groundnut, seed rate varies by method: line sowing needs less seed than broadcasting. Calibrate seed drills for uniform spacing. Avoid old or damaged seeds. Keep records of inputs and yields each season to refine your plan.","agriculture,alluvial,farming,groundnut,india,rust,seed_selection"
Storage,mustard,downy mildew,How do I practice organic farming in mustard without losing yield?,"In mustard, high moisture leads to mold and mycotoxins. Dry to safe levels, use moisture-proof liners, and keep bags off the floor on pallets. Inspect regularly for pests and dampness. Keep records of inputs and yields each season to refine your plan.","agriculture,downy mildew,farming,india,mustard,sandy,storage"
Post-Harvest,sunflower,sclerotinia head rot,How do I implement IPM in sunflower step by step?,"In sunflower, high moisture leads to mold and mycotoxins. Dry to safe levels, use moisture-proof liners, and keep bags off the floor on pallets. Inspect regularly for pests and dampness. Keep records of inputs and yields each season to refine your plan.","agriculture,farming,india,post-harvest,sandy,sclerotinia head rot,sunflower"
Mechanization,bajra,blast,What is a good NPK plan for bajra to avoid lodging and disease?,"For bajra, post-harvest mechanization (threshers, graders, dryers) improves quality and reduces losses. Clean and maintain equipment after each season. Keep records of inputs and yields each season to refine your plan.","agriculture,bajra,blast,clay,farming,india,mechanization"
Intercropping,jowar,rust,What are effective weed control methods for jowar that are safe and cheap?,"For jowar, intercropping with short-duration vegetables increases land productivity. Plan sowing dates to avoid competition. Use balanced fertilizers and timely weeding. Keep records of inputs and yields each season to refine your plan.","agriculture,farming,india,intercropping,jowar,laterite,rust"
Crop Rotation,ragi,helminthosporium leaf spot,What is the best fertilizer dose and schedule for ragi in clay soil?,"For ragi, avoid continuous monoculture. Rotate with cereals/legumes to balance nutrients. Use residue incorporation and cover crops to build organic matter. Keep records of inputs and yields each season to refine your plan.","agriculture,clay,crop_rotation,farming,helminthosporium leaf spot,india,ragi"
Water Conservation,gram,dry root rot,Which government schemes can I use for gram cultivation and marketing?,"Conserve water in gram with mulching, zero-till, and micro-irrigation. Schedule irrigation based on soil moisture. Avoid flood irrigation in sandy soils. Keep records of inputs and yields each season to refine your plan.","agriculture,dry root rot,farming,gram,india,sandy,water_conservation"
Micronutrients,pigeon pea,sterility mosaic,How do I implement IPM in pigeon pea step by step?,"Zn deficiency in pigeon pea shows as interveinal chlorosis and stunting. Apply ZnSO4 (20–25 kg/ha) basally or foliar 0.5% ZnSO4 + 0.25% lime. In alkaline soils, band Zn near roots for better uptake. Keep records of inputs and yields each season to refine your plan.","agriculture,farming,india,micronutrients,pigeon pea,red,sterility mosaic"
NPK Management,green gram,powdery mildew,How do I select and treat seeds for green gram to improve germination?,"For green gram, integrated nutrient management combines FYM, biofertilizers, and mineral fertilizers. Target OC >0.8%, balanced NPK, and micronutrients based on soil tests. Avoid blanket recommendations. Keep records of inputs and yields each season to refine your plan.","agriculture,black,farming,green gram,india,npk_management,powdery mildew"
IPM,black gram,powdery mildew,How does crop insurance work for black gram and how do I claim?,"In black gram, light traps and bird perches help manage nocturnal pests. Maintain field hygiene and remove weed hosts. Use need-based sprays only when ETL is crossed. Keep records of inputs and yields each season to refine your plan.","agriculture,black,black gram,farming,india,ipm,powdery mildew"
